Frame,Time,Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major
403,0.403,12.6,-10.1,-9.1,-8.1
404,0.404,13.7,-9.1,-4.2,-10.6
405,0.405,16.7,-6.5,-9.3,-12.8
406,0.406,24.8,-2.4,-6.8,-10.5
407,0.407,19.6,2.6,-4.5,-6.5
408,0.408,5.2,-0.7,-5.9,-3.7
409,0.409,7.5,5.9,-5.2,-4.5
410,0.410,5.7,10.3,-6.4,-3.0
411,0.411,-6.3,7.9,-5.8,-4.4
412,0.412,-10.9,4.3,-3.7,-6.1
413,0.413,-18.0,12.9,-4.6,-3.5
414,0.414,-37.5,11.8,-0.9,1.7
415,0.415,-57.0,6.5,-0.4,5.4
416,0.416,-49.4,3.7,1.7,3.5
417,0.417,-47.2,-2.4,4.5,2.9
418,0.418,-41.0,-6.4,6.9,4.3
419,0.419,-23.8,3.1,7.8,2.7
420,0.420,10.7,12.3,10.4,3.0
421,0.421,25.5,25.2,5.5,5.6
422,0.422,48.1,27.0,8.6,8.6
423,0.423,52.3,28.6,15.0,6.2
424,0.424,56.1,27.3,10.4,7.1
425,0.425,46.1,15.6,6.2,4.3
426,0.426,37.0,11.0,5.3,3.7
427,0.427,34.4,4.0,4.5,-0.5
428,0.428,32.0,-2.4,1.4,-0.4
429,0.429,25.3,-5.7,3.8,1.8
430,0.430,2.3,-15.2,2.2,5.5
431,0.431,-0.6,-24.2,6.0,4.6
432,0.432,-3.3,-23.0,5.4,2.9
433,0.433,-31.1,-13.2,1.7,2.1
434,0.434,-49.6,-9.2,3.7,6.3
435,0.435,-32.7,-15.0,3.1,3.0
436,0.436,-41.9,-15.9,-1.8,4.1
437,0.437,-28.0,-12.9,-1.3,6.3
438,0.438,-15.4,-11.9,-8.1,2.9
439,0.439,-8.5,-9.4,-10.9,-3.5
440,0.440,1.9,-8.7,-8.7,-8.3
441,0.441,3.7,-6.7,-6.7,-6.2
442,0.442,-1.4,-2.5,3.0,-10.2
443,0.443,-12.4,-4.0,1.5,-3.2
444,0.444,-7.6,-1.7,4.1,5.0
445,0.445,2.2,-3.1,5.2,-4.0
446,0.446,8.7,0.9,1.6,6.3
447,0.447,7.5,4.6,-1.7,10.2
448,0.448,-4.2,7.1,2.9,0.8
449,0.449,-18.4,9.3,-3.4,-2.9
450,0.450,-35.5,7.3,2.0,-2.2
451,0.451,-42.3,1.8,-3.2,-3.4
452,0.452,-31.9,-0.6,1.2,0.8
453,0.453,-22.4,1.6,-0.7,2.9
454,0.454,-48.3,3.5,-1.4,-6.8
455,0.455,-44.6,1.7,3.9,-5.8
456,0.456,-21.0,3.2,5.9,-2.5
457,0.457,0.4,5.7,1.2,0.4
458,0.458,36.7,10.6,6.5,3.1
459,0.459,61.3,17.8,1.3,3.8
460,0.460,47.8,16.8,0.6,4.4
