Right Biceps brachii caput longus,Left Biceps brachii caput longus,Right Pectoralis Major,Left Pectoralis Major,
29.3,12.0,-73.8,-188.0,
28.3,10.6,-60.7,-187.5,
33.8,7.0,-48.3,-166.4,
31.1,-2.7,-54.2,-140.1,
18.0,-9.2,-53.6,-100.8,
1.1,-12.7,-47.4,-86.0,
-10.3,-11.7,-52.3,-62.9,
-24.8,-8.9,-35.6,-51.1,
-22.8,-2.7,-29.0,-32.4,
-31.3,-3.5,-18.5,6.7,
-20.2,-4.2,-9.1,21.3,
-21.4,-0.9,-0.7,34.2,
-22.6,2.1,3.4,54.8,
-4.7,0.6,7.0,65.2,
-7.1,6.1,15.8,67.0,
-9.2,8.2,18.6,75.2,
-15.3,5.0,6.9,70.2,
-14.4,4.6,12.1,76.0,
-1.0,1.7,23.9,76.8,
4.2,0.2,24.6,82.5,
9.0,-3.2,37.7,82.9,
13.2,-1.9,49.9,95.7,
22.3,-3.0,54.1,99.5,
18.9,-1.2,57.8,102.9,
15.8,-5.6,55.6,109.0,
11.0,-9.7,58.5,114.4,
1.3,-11.1,65.9,111.5,
-13.0,-5.6,72.4,111.1,
-14.8,-6.2,68.8,112.7,
-6.2,-1.6,65.4,114.1,
-14.0,-3.2,70.3,106.6,
-9.8,-5.8,74.7,107.7,
-0.8,-11.2,76.1,107.2,
0.3,-16.1,69.0,98.8,
-2.8,-10.1,72.9,94.9,
2.0,-14.0,65.3,84.3,
4.6,-13.2,58.2,77.0,
-7.5,-3.2,57.1,63.4,
-12.6,-4.4,52.8,64.5,
-11.1,-5.6,41.8,53.2,
-12.5,-11.4,34.0,43.0,
-19.0,-6.0,24.1,31.2,
-22.4,0.9,15.2,23.4,
-17.1,8.9,7.2,19.3,
-20.0,20.8,-8.5,7.9,
-33.2,25.5,-5.9,-8.9,
-58.0,15.7,-7.7,-10.7,
-48.0,9.1,-12.8,-12.1,
-26.7,0.9,-20.9,-20.8,
-7.4,-4.5,-21.9,-38.9,
5.1,-3.6,-28.4,-45.5,
16.4,-6.4,-34.2,-37.5,
22.4,-5.7,-34.7,-42.6,
39.4,-5.0,-17.9,-39.4,
55.2,-3.2,-14.9,-39.6,
52.9,-3.9,-24.5,-36.6,
43.2,-6.6,-29.3,-36.3,
34.4,-6.2,-26.7,-41.2,
20.0,-9.3,-24.3,-33.7,
14.2,-3.3,-24.8,-37.3,
2.0,9.9,-25.1,-36.5,
0.4,11.7,-25.3,-33.9,
-1.1,13.4,-23.3,-36.2,
0.1,11.8,-25.3,-35.2,
1.2,13.1,-25.2,-34.2,
-2.0,14.4,-28.3,-29.5,
-1.1,3.8,-16.5,-35.0,
-5.6,-3.3,-14.1,-34.4,
-8.1,3.2,-17.4,-30.2,
-1.6,2.0,-12.7,-24.8,
1.1,-1.1,-10.8,-25.6,
1.8,-6.0,-17.4,-23.6,
-0.4,-12.2,-17.6,-25.3,
-1.0,-14.6,-7.2,-31.2,
-6.4,-18.3,-5.2,-23.3,
-4.2,-9.7,-8.1,-17.8,
4.4,-13.2,-10.6,-11.2,
12.6,-10.1,-9.1,-8.1,
13.7,-9.1,-4.2,-10.6,
16.7,-6.5,-9.3,-12.8,
24.8,-2.4,-6.8,-10.5,
19.6,2.6,-4.5,-6.5,
5.2,-0.7,-5.9,-3.7,
7.5,5.9,-5.2,-4.5,
5.7,10.3,-6.4,-3.0,
-6.3,7.9,-5.8,-4.4,
-10.9,4.3,-3.7,-6.1,
-18.0,12.9,-4.6,-3.5,
-37.5,11.8,-0.9,1.7,
-57.0,6.5,-0.4,5.4,
-49.4,3.7,1.7,3.5,
-47.2,-2.4,4.5,2.9,
-41.0,-6.4,6.9,4.3,
-23.8,3.1,7.8,2.7,
10.7,12.3,10.4,3.0,
25.5,25.2,5.5,5.6,
48.1,27.0,8.6,8.6,
52.3,28.6,15.0,6.2,
56.1,27.3,10.4,7.1,
46.1,15.6,6.2,4.3,
37.0,11.0,5.3,3.7,
34.4,4.0,4.5,-0.5,
32.0,-2.4,1.4,-0.4,
25.3,-5.7,3.8,1.8,
2.3,-15.2,2.2,5.5,
-0.6,-24.2,6.0,4.6,
-3.3,-23.0,5.4,2.9,
-31.1,-13.2,1.7,2.1,
-49.6,-9.2,3.7,6.3,
-32.7,-15.0,3.1,3.0,
-41.9,-15.9,-1.8,4.1,
-28.0,-12.9,-1.3,6.3,
-15.4,-11.9,-8.1,2.9,
-8.5,-9.4,-10.9,-3.5,
1.9,-8.7,-8.7,-8.3,
3.7,-6.7,-6.7,-6.2,
-1.4,-2.5,3.0,-10.2,
